date,county,state,federal_process_cd,cumulative_cases,cumulative_death
3/6/2020,Honolulu,Hawaii,15003,1,0
3/7/2020,Honolulu,Hawaii,15003,1,0
3/8/2020,Honolulu,Hawaii,15003,2,0
3/9/2020,Honolulu,Hawaii,15003,2,0
3/10/2020,Honolulu,Hawaii,15003,2,0
3/11/2020,Honolulu,Hawaii,15003,2,0
3/12/2020,Honolulu,Hawaii,15003,2,0
3/13/2020,Honolulu,Hawaii,15003,2,0
3/14/2020,Honolulu,Hawaii,15003,2,0
3/14/2020,Kauai,Hawaii,15007,2,0
3/15/2020,Honolulu,Hawaii,15003,4,0
3/15/2020,Kauai,Hawaii,15007,2,0
3/15/2020,Maui,Hawaii,15009,1,0
3/16/2020,Honolulu,Hawaii,15003,6,0
3/16/2020,Kauai,Hawaii,15007,2,0
3/16/2020,Maui,Hawaii,15009,2,0
3/17/2020,Hawaii,Hawaii,15001,1,0
3/17/2020,Honolulu,Hawaii,15003,8,0
3/17/2020,Kauai,Hawaii,15007,2,0
3/17/2020,Maui,Hawaii,15009,3,0
3/18/2020,Hawaii,Hawaii,15001,1,0
3/18/2020,Honolulu,Hawaii,15003,10,0
3/18/2020,Kauai,Hawaii,15007,2,0
3/18/2020,Maui,Hawaii,15009,3,0
3/19/2020,Hawaii,Hawaii,15001,1,0
3/19/2020,Honolulu,Hawaii,15003,18,0
3/19/2020,Kauai,Hawaii,15007,2,0
3/19/2020,Maui,Hawaii,15009,5,0
3/20/2020,Hawaii,Hawaii,15001,1,0
3/20/2020,Honolulu,Hawaii,15003,28,0
3/20/2020,Kauai,Hawaii,15007,3,0
3/20/2020,Maui,Hawaii,15009,5,0
3/21/2020,Hawaii,Hawaii,15001,3,0
3/21/2020,Honolulu,Hawaii,15003,35,0
3/21/2020,Kauai,Hawaii,15007,3,0
3/21/2020,Maui,Hawaii,15009,7,0
3/22/2020,Hawaii,Hawaii,15001,3,0
3/22/2020,Honolulu,Hawaii,15003,41,0
3/22/2020,Kauai,Hawaii,15007,3,0
3/22/2020,Maui,Hawaii,15009,9,0
3/23/2020,Hawaii,Hawaii,15001,5,0
3/23/2020,Honolulu,Hawaii,15003,53,0
3/23/2020,Kauai,Hawaii,15007,3,0
3/23/2020,Maui,Hawaii,15009,11,0
3/23/2020,Unknown,Hawaii,,5,0
3/24/2020,Hawaii,Hawaii,15001,5,0
3/24/2020,Honolulu,Hawaii,15003,58,0
3/24/2020,Kauai,Hawaii,15007,3,0
3/24/2020,Maui,Hawaii,15009,11,0
3/24/2020,Unknown,Hawaii,,13,0
3/25/2020,Hawaii,Hawaii,15001,5,0
3/25/2020,Honolulu,Hawaii,15003,68,0
3/25/2020,Kauai,Hawaii,15007,5,0
3/25/2020,Maui,Hawaii,15009,13,0
3/25/2020,Unknown,Hawaii,,4,0
3/26/2020,Hawaii,Hawaii,15001,5,0
3/26/2020,Honolulu,Hawaii,15003,77,0
3/26/2020,Kauai,Hawaii,15007,5,0
3/26/2020,Maui,Hawaii,15009,14,0
3/26/2020,Unknown,Hawaii,,5,0
3/27/2020,Hawaii,Hawaii,15001,7,0
3/27/2020,Honolulu,Hawaii,15003,87,0
3/27/2020,Kauai,Hawaii,15007,5,0
3/27/2020,Maui,Hawaii,15009,16,0
3/27/2020,Unknown,Hawaii,,5,0
3/28/2020,Hawaii,Hawaii,15001,10,0
3/28/2020,Honolulu,Hawaii,15003,108,0
3/28/2020,Kauai,Hawaii,15007,11,0
3/28/2020,Maui,Hawaii,15009,16,0
3/28/2020,Unknown,Hawaii,,6,0
3/29/2020,Hawaii,Hawaii,15001,12,0
3/29/2020,Honolulu,Hawaii,15003,119,0
3/29/2020,Kauai,Hawaii,15007,12,0
3/29/2020,Maui,Hawaii,15009,20,0
3/29/2020,Unknown,Hawaii,,12,0
3/30/2020,Hawaii,Hawaii,15001,15,0
3/30/2020,Honolulu,Hawaii,15003,139,0
3/30/2020,Kauai,Hawaii,15007,12,0
3/30/2020,Maui,Hawaii,15009,25,0
3/30/2020,Unknown,Hawaii,,13,0
3/31/2020,Hawaii,Hawaii,15001,15,0
3/31/2020,Honolulu,Hawaii,15003,157,1
3/31/2020,Kauai,Hawaii,15007,12,0
3/31/2020,Maui,Hawaii,15009,25,0
3/31/2020,Unknown,Hawaii,,15,0
4/1/2020,Hawaii,Hawaii,15001,18,0
4/1/2020,Honolulu,Hawaii,15003,182,1
4/1/2020,Kauai,Hawaii,15007,12,0
4/1/2020,Maui,Hawaii,15009,26,0
4/1/2020,Unknown,Hawaii,,20,0
4/2/2020,Hawaii,Hawaii,15001,18,0
4/2/2020,Honolulu,Hawaii,15003,206,2
4/2/2020,Kauai,Hawaii,15007,12,0
4/2/2020,Maui,Hawaii,15009,27,0
